"""Origen""","""Destino""","""Valor"""
'Bizkaia',' Balears_ Illes',69
'Bizkaia',' Barcelona',189
'Bizkaia',' Bizkaia', 
'Bizkaia',' Burgos',246
'Bizkaia',' Caceres',40
'Bizkaia',' Cadiz',53
'Bizkaia',' Cantabria',623
'Bizkaia',' Castellon_Castello',15
'Bizkaia',' Ciudad Real',18
'Bizkaia',' Cordoba',23
'Bizkaia',' Coruña_ A',55
'Bizkaia',' Cuenca',7
'Bizkaia',' Gipuzkoa',530
'Bizkaia',' Girona',18
'Bizkaia',' Granada',26
'Bizkaia',' Guadalajara',24
'Bizkaia',' Huelva',16
'Bizkaia',' Huesca',17
'Bizkaia',' Jaen',19
'Bizkaia',' Leon',60
'Bizkaia',' Lleida',20
'Bizkaia',' Lugo',27
'Bizkaia',' Madrid',443
'Bizkaia',' Malaga',76
'Bizkaia',' Murcia',62
'Bizkaia',' Navarra',169
'Bizkaia',' Ourense',34
'Bizkaia',' Palencia',45
'Bizkaia',' Palmas_ Las',65
'Bizkaia',' Pontevedra',37
'Bizkaia',' Rioja_ La',113
'Bizkaia',' Salamanca',35
'Bizkaia',' Santa Cruz de Tenerife',51
'Bizkaia',' Segovia',5
'Bizkaia',' Sevilla',61
'Bizkaia',' Soria',13
'Bizkaia',' Tarragona',39
'Bizkaia',' Teruel',5
'Bizkaia',' Toledo',29
'Bizkaia',' Valencia_València',106
'Bizkaia',' Valladolid',34
'Bizkaia',' Zamora',29
'Bizkaia',' Zaragoza',74
'Bizkaia',' Ceuta',4
'Bizkaia',' Melilla',10
'Burgos',' Albacete',9
'Burgos',' Alicante_Alacant',52
'Burgos',' Almeria',14
'Burgos',' Araba_alava',163
'Burgos',' Asturias',40
'Burgos',' avila',17
'Burgos',' Badajoz',13
'Burgos',' Balears_ Illes',22
'Burgos',' Barcelona',64
'Burgos',' Bizkaia',201
'Burgos',' Burgos', 
'Burgos',' Caceres',16
'Burgos',' Cadiz',16
'Burgos',' Cantabria',113
'Burgos',' Castellon_Castello',5
'Burgos',' Ciudad Real',10
'Burgos',' Cordoba',9
'Burgos',' Coruña_ A',15
'Burgos',' Cuenca',7
'Burgos',' Gipuzkoa',31
'Burgos',' Girona',15
'Burgos',' Granada',18
'Burgos',' Guadalajara',8
'Burgos',' Huelva',9
'Burgos',' Huesca',6
'Burgos',' Jaen',8
'Burgos',' Leon',62
'Burgos',' Lleida',5
'Burgos',' Lugo',9
'Burgos',' Madrid',231
'Burgos',' Malaga',27
'Burgos',' Murcia',32
'Burgos',' Navarra',28
'Burgos',' Ourense',3
'Burgos',' Palencia',85
'Burgos',' Palmas_ Las',13
'Burgos',' Pontevedra',16
'Burgos',' Rioja_ La',62
'Burgos',' Salamanca',29
'Burgos',' Santa Cruz de Tenerife',15
'Burgos',' Segovia',27
'Burgos',' Sevilla',15
'Burgos',' Soria',39
'Burgos',' Tarragona',6
'Burgos',' Teruel',5
'Burgos',' Toledo',31
'Burgos',' Valencia_València',24
'Burgos',' Valladolid',109
'Burgos',' Zamora',34
'Burgos',' Zaragoza',25
'Burgos',' Ceuta',2
'Burgos',' Melilla',6
'Caceres',' Albacete',4
'Caceres',' Alicante_Alacant',15
'Caceres',' Almeria',10
'Caceres',' Araba_alava',9
'Caceres',' Asturias',15
'Caceres',' avila',20
'Caceres',' Badajoz',275
'Caceres',' Balears_ Illes',27
'Caceres',' Barcelona',96
'Caceres',' Bizkaia',28
'Caceres',' Burgos',11
'Caceres',' Caceres', 
'Caceres',' Cadiz',41
'Caceres',' Cantabria',7
'Caceres',' Castellon_Castello',9
'Caceres',' Ciudad Real',22
'Caceres',' Cordoba',12
'Caceres',' Coruña_ A',5
'Caceres',' Cuenca',4
'Caceres',' Gipuzkoa',29
'Caceres',' Girona',14
'Caceres',' Granada',18
'Caceres',' Guadalajara',16
'Caceres',' Huelva',29
'Caceres',' Huesca',2
'Caceres',' Jaen',17
'Caceres',' Leon',6
'Caceres',' Lleida',4
'Caceres',' Lugo',3
'Caceres',' Madrid',420
'Caceres',' Malaga',37
'Caceres',' Murcia',37
'Caceres',' Navarra',8
'Caceres',' Ourense',1
'Caceres',' Palencia',2
'Caceres',' Palmas_ Las',21
'Caceres',' Pontevedra',14
'Caceres',' Rioja_ La',7
'Caceres',' Salamanca',89
'Caceres',' Santa Cruz de Tenerife',8
'Caceres',' Segovia',7
'Caceres',' Sevilla',50
'Caceres',' Soria',5
'Caceres',' Tarragona',14
'Caceres',' Teruel',6
'Caceres',' Toledo',77
'Caceres',' Valencia_València',24
'Caceres',' Valladolid',14
'Caceres',' Zamora',6
'Caceres',' Zaragoza',8
'Caceres',' Ceuta',3
'Caceres',' Melilla',4
'Cadiz',' Albacete',10
'Cadiz',' Alicante_Alacant',68
'Cadiz',' Almeria',67
'Cadiz',' Araba_alava',16
'Cadiz',' Asturias',45
'Cadiz',' avila',7
'Cadiz',' Badajoz',64
'Cadiz',' Balears_ Illes',204
'Cadiz',' Barcelona',263
'Cadiz',' Bizkaia',49
'Cadiz',' Burgos',13
'Cadiz',' Caceres',32
'Cadiz',' Cadiz', 
'Cadiz',' Cantabria',25
'Cadiz',' Castellon_Castello',22
'Cadiz',' Ciudad Real',28
'Cadiz',' Cordoba',151
'Cadiz',' Coruña_ A',90
'Cadiz',' Cuenca',9
'Cadiz',' Gipuzkoa',25
'Cadiz',' Girona',44
'Cadiz',' Granada',140
'Cadiz',' Guadalajara',27
'Cadiz',' Huelva',121
'Cadiz',' Huesca',8
'Cadiz',' Jaen',74
'Cadiz',' Leon',23
'Cadiz',' Lleida',11
'Cadiz',' Lugo',15
'Cadiz',' Madrid',563
'Cadiz',' Malaga',610
'Cadiz',' Murcia',110
'Cadiz',' Navarra',43
'Cadiz',' Ourense',8
'Cadiz',' Palencia',9
'Cadiz',' Palmas_ Las',189
'Cadiz',' Pontevedra',40
'Cadiz',' Rioja_ La',14
'Cadiz',' Salamanca',16
'Cadiz',' Santa Cruz de Tenerife',83
'Cadiz',' Segovia',6
'Cadiz',' Sevilla',775
'Cadiz',' Soria',6
'Cadiz',' Tarragona',51
'Cadiz',' Teruel',1
'Cadiz',' Toledo',45
'Cadiz',' Valencia_València',73
'Cadiz',' Valladolid',33
'Cadiz',' Zamora',7
'Cadiz',' Zaragoza',38
'Cadiz',' Ceuta',199
'Cadiz',' Melilla',36
'Cantabria',' Albacete',9
'Cantabria',' Alicante_Alacant',69
'Cantabria',' Almeria',18
'Cantabria',' Araba_alava',40
'Cantabria',' Asturias',219
'Cantabria',' avila',15
'Cantabria',' Badajoz',28
'Cantabria',' Balears_ Illes',55
'Cantabria',' Barcelona',133
'Cantabria',' Bizkaia',629
'Cantabria',' Burgos',113
'Cantabria',' Caceres',17
'Cantabria',' Cadiz',43
'Cantabria',' Cantabria', 
'Cantabria',' Castellon_Castello',4
'Cantabria',' Ciudad Real',13
'Cantabria',' Cordoba',21
'Cantabria',' Coruña_ A',57
'Cantabria',' Cuenca',3
'Cantabria',' Gipuzkoa',65
'Cantabria',' Girona',16
'Cantabria',' Granada',23
'Cantabria',' Guadalajara',13
'Cantabria',' Huelva',12
'Cantabria',' Huesca',16
'Cantabria',' Jaen',12
'Cantabria',' Leon',54
'Cantabria',' Lleida',9
'Cantabria',' Lugo',14
'Cantabria',' Madrid',439
'Cantabria',' Malaga',54
'Cantabria',' Murcia',51
'Cantabria',' Navarra',50
'Cantabria',' Ourense',29
'Cantabria',' Palencia',91
'Cantabria',' Palmas_ Las',63
'Cantabria',' Pontevedra',20
'Cantabria',' Rioja_ La',76
'Cantabria',' Salamanca',33
'Cantabria',' Santa Cruz de Tenerife',58
'Cantabria',' Segovia',10
'Cantabria',' Sevilla',34
'Cantabria',' Soria',4
'Cantabria',' Tarragona',11
'Cantabria',' Teruel',2
'Cantabria',' Toledo',39
'Cantabria',' Valencia_València',48
'Cantabria',' Valladolid',90
'Cantabria',' Zamora',23
'Cantabria',' Zaragoza',46
'Cantabria',' Ceuta',3
'Cantabria',' Melilla',3
'Castellon_Castello',' Albacete',25
'Castellon_Castello',' Alicante_Alacant',134
'Castellon_Castello',' Almeria',38
'Castellon_Castello',' Araba_alava',5
'Castellon_Castello',' Asturias',15
'Castellon_Castello',' avila',5
'Castellon_Castello',' Badajoz',5
'Castellon_Castello',' Balears_ Illes',74
'Castellon_Castello',' Barcelona',358
'Castellon_Castello',' Bizkaia',25
'Castellon_Castello',' Burgos',11
'Castellon_Castello',' Caceres',14
'Castellon_Castello',' Cadiz',47
'Castellon_Castello',' Cantabria',14
'Castellon_Castello',' Castellon_Castello', 
'Castellon_Castello',' Ciudad Real',19
'Castellon_Castello',' Cordoba',37
'Castellon_Castello',' Coruña_ A',20
'Castellon_Castello',' Cuenca',27
'Castellon_Castello',' Gipuzkoa',11
'Castellon_Castello',' Girona',35
'Castellon_Castello',' Granada',33
'Castellon_Castello',' Guadalajara',21
'Castellon_Castello',' Huelva',13
'Castellon_Castello',' Huesca',21
'Castellon_Castello',' Jaen',42
'Castellon_Castello',' Leon',13
'Castellon_Castello',' Lleida',60
'Castellon_Castello',' Lugo',5
